ID,Donor,Time_point,Cell_type,Batch,Group,MEF,FB,MYO,Neuron,hiP
2607-4-iGABA-DIV14-R1,2607,DIV14,GABA,NRXN1_Del,Control,0.082035104,0,0,0.596009548,0.321955348
2607-4-iGABA-DIV14-R2,2607,DIV14,GABA,NRXN1_Del,Control,0.099567544,0.013581742,0,0.543467958,0.343382756
2607-4-iGABA-DIV14-R3,2607,DIV14,GABA,NRXN1_Del,Control,0.103052922,0.012516634,0,0.543394254,0.34103619
2607-4-iGABA-DIV35-R1,2607,DIV35,GABA,NRXN1_Del,Control,0.010345734,0,0,0.89964311,0.090011156
2607-4-iGABA-DIV35-R2,2607,DIV35,GABA,NRXN1_Del,Control,0.012255463,0,0,0.891210284,0.096534253
2607-4-iGLUT-DIV21-R1,2607,DIV21,GLUT,NRXN1_Del,Control,0.015839515,0,0,0.885262344,0.098898141
2607-4-iGLUT-DIV21-R2,2607,DIV21,GLUT,NRXN1_Del,Control,0.015736698,0,0,0.876777956,0.107485346
2607-4-iGLUT-DIV21-R3,2607,DIV21,GLUT,NRXN1_Del,Control,0.016434776,0,0,0.885270517,0.098294708
553-3-iGABA-DIV14-R1,553,DIV14,GABA,NRXN1_Del,Control,0.206952035,0.097290185,0,0.243900062,0.451857718
553-3-iGABA-DIV14-R2,553,DIV14,GABA,NRXN1_Del,Control,0.212660025,0.082342422,0,0.251572277,0.453425277
553-3-iGABA-DIV14-R3,553,DIV14,GABA,NRXN1_Del,Control,0.22794177,0.093828895,0,0.227586042,0.450643292
553-3-iGABA-DIV35-R1,553,DIV35,GABA,NRXN1_Del,Control,0.037602944,0.00207052,0,0.745312087,0.215014449
553-3-iGABA-DIV35-R2,553,DIV35,GABA,NRXN1_Del,Control,0.035302817,0.003444887,0,0.776208113,0.185044184
553-3-iGABA-DIV35-R3,553,DIV35,GABA,NRXN1_Del,Control,0.032162827,0.005474721,0,0.775654863,0.186707589
553-3-iGLUT-DIV21-R1,553,DIV21,GLUT,NRXN1_Del,Control,0.067034406,0,0,0.759847214,0.17311838
553-3-iGLUT-DIV21-R2,553,DIV21,GLUT,NRXN1_Del,Control,0.041885132,0,0,0.803469851,0.154645017
553-3-iGLUT-DIV21-R3,553,DIV21,GLUT,NRXN1_Del,Control,0.020096436,0,0,0.85234689,0.127556675
581-5-iGABA-DIV14-R1,581,DIV14,GABA,NRXN1_Del,3_Prime_Del,0.161804549,0.054908552,0,0.364980651,0.418306248
581-5-iGABA-DIV14-R2,581,DIV14,GABA,NRXN1_Del,3_Prime_Del,0.154406775,0.057394102,0,0.361419686,0.426779437
581-5-iGABA-DIV14-R3,581,DIV14,GABA,NRXN1_Del,3_Prime_Del,0.153536779,0.04029259,0,0.396800436,0.409370195
581-5-iGABA-DIV35-R1,581,DIV35,GABA,NRXN1_Del,3_Prime_Del,0.036387892,0,0,0.826233176,0.137378932
581-5-iGABA-DIV35-R2,581,DIV35,GABA,NRXN1_Del,3_Prime_Del,0.015112351,0,0,0.901971071,0.082916578
581-5-iGABA-DIV35-R3,581,DIV35,GABA,NRXN1_Del,3_Prime_Del,0.020108814,0,0,0.900445029,0.079446157
581-5-iGLUT-DIV21-R1,581,DIV21,GLUT,NRXN1_Del,3_Prime_Del,0.011724261,0,0,0.936764963,0.051510776
581-5-iGLUT-DIV21-R2,581,DIV21,GLUT,NRXN1_Del,3_Prime_Del,0.016315605,0,0,0.896217295,0.0874671
581-5-iGLUT-DIV21-R3,581,DIV21,GLUT,NRXN1_Del,3_Prime_Del,0.009652656,0,0,0.955458616,0.034888729
641-6-iGABA-DIV14-R1,641,DIV14,GABA,NRXN1_Del,3_Prime_Del,0.095981452,0.027489659,0,0.557533938,0.31899495
641-6-iGABA-DIV14-R2,641,DIV14,GABA,NRXN1_Del,3_Prime_Del,0.079394526,0.012673334,0,0.602973451,0.304958689
641-6-iGABA-DIV14-R3,641,DIV14,GABA,NRXN1_Del,3_Prime_Del,0.081740406,0.010967104,0,0.596811437,0.310481054
641-6-iGABA-DIV35-R1,641,DIV35,GABA,NRXN1_Del,3_Prime_Del,0.025976721,0,0,0.83840337,0.135619908
641-6-iGABA-DIV35-R2,641,DIV35,GABA,NRXN1_Del,3_Prime_Del,0.033996359,0,0,0.843977011,0.12202663
641-6-iGABA-DIV35-R3,641,DIV35,GABA,NRXN1_Del,3_Prime_Del,0.019607618,0,0,0.894837159,0.085555224
641-6-iGLUT-DIV21-R1,641,DIV21,GLUT,NRXN1_Del,3_Prime_Del,0.018581181,0,0,0.896205508,0.08521331
