Geneid	Chr	Start	End	Strand	Length	hgnc_symbol	percentage_gc_content	transcript_start	transcript_end	transcript_biotype	strand	geneName	Chrom	geneStart	geneEnd
ENSG00000210049	chrM	577	647	+	71	MT-TF	40.85	577	647	Mt_tRNA	1	MT-TF	chrM	577	647
ENSG00000211459	chrM	648	1601	+	954	MT-RNR1	45.49	648	1601	Mt_rRNA	1	MT-RNR1	chrM	648	1601
ENSG00000210077	chrM	1602	1670	+	69	MT-TV	42.03	1602	1670	Mt_tRNA	1	MT-TV	chrM	1602	1670
ENSG00000210082	chrM	1671	3229	+	1559	MT-RNR2	42.81	1671	3229	Mt_rRNA	1	MT-RNR2	chrM	1671	3229
ENSG00000209082	chrM	3230	3304	+	75	MT-TL1	38.67	3230	3304	Mt_tRNA	1	MT-TL1	chrM	3230	3304
ENSG00000198888	chrM	3307	4262	+	956	MT-ND1	47.7	3307	4262	protein_coding	1	MT-ND1	chrM	3307	4262
ENSG00000210100	chrM	4263	4331	+	69	MT-TI	28.99	4263	4331	Mt_tRNA	1	MT-TI	chrM	4263	4331
ENSG00000210107	chrM	4329	4400	-	72	MT-TQ	48.61	4329	4400	Mt_tRNA	-1	MT-TQ	chrM	4400	4329
ENSG00000210112	chrM	4402	4469	+	68	MT-TM	45.59	4402	4469	Mt_tRNA	1	MT-TM	chrM	4402	4469
ENSG00000198763	chrM	4470	5511	+	1042	MT-ND2	42.99	4470	5511	protein_coding	1	MT-ND2	chrM	4470	5511
ENSG00000210117	chrM	5512	5579	+	68	MT-TW	35.29	5512	5579	Mt_tRNA	1	MT-TW	chrM	5512	5579
ENSG00000210127	chrM	5587	5655	-	69	MT-TA	43.48	5587	5655	Mt_tRNA	-1	MT-TA	chrM	5655	5587
ENSG00000210135	chrM	5657	5729	-	73	MT-TN	41.1	5657	5729	Mt_tRNA	-1	MT-TN	chrM	5729	5657
ENSG00000210140	chrM	5761	5826	-	66	MT-TC	45.45	5761	5826	Mt_tRNA	-1	MT-TC	chrM	5826	5761
ENSG00000210144	chrM	5826	5891	-	66	MT-TY	42.42	5826	5891	Mt_tRNA	-1	MT-TY	chrM	5891	5826
ENSG00000198804	chrM	5904	7445	+	1542	MT-CO1	46.24	5904	7445	protein_coding	1	MT-CO1	chrM	5904	7445
ENSG00000210151	chrM	7446	7514	-	69	MT-TS1	49.28	7446	7514	Mt_tRNA	-1	MT-TS1	chrM	7514	7446
ENSG00000210154	chrM	7518	7585	+	68	MT-TD	23.53	7518	7585	Mt_tRNA	1	MT-TD	chrM	7518	7585
ENSG00000198712	chrM	7586	8269	+	684	MT-CO2	46.2	7586	8269	protein_coding	1	MT-CO2	chrM	7586	8269
ENSG00000210156	chrM	8295	8364	+	70	MT-TK	32.86	8295	8364	Mt_tRNA	1	MT-TK	chrM	8295	8364
ENSG00000228253	chrM	8366	8572	+	207	MT-ATP8	39.61	8366	8572	protein_coding	1	MT-ATP8	chrM	8366	8572
ENSG00000198899	chrM	8527	9207	+	681	MT-ATP6	44.2	8527	9207	protein_coding	1	MT-ATP6	chrM	8527	9207
ENSG00000198938	chrM	9207	9990	+	784	MT-CO3	46.56	9207	9990	protein_coding	1	MT-CO3	chrM	9207	9990
ENSG00000210164	chrM	9991	10058	+	68	MT-TG	26.47	9991	10058	Mt_tRNA	1	MT-TG	chrM	9991	10058
ENSG00000198840	chrM	10059	10404	+	346	MT-ND3	40.17	10059	10404	protein_coding	1	MT-ND3	chrM	10059	10404
ENSG00000210174	chrM	10405	10469	+	65	MT-TR	23.08	10405	10469	Mt_tRNA	1	MT-TR	chrM	10405	10469
ENSG00000212907	chrM	10470	10766	+	297	MT-ND4L	43.1	10470	10766	protein_coding	1	MT-ND4L	chrM	10470	10766
ENSG00000198886	chrM	10760	12137	+	1378	MT-ND4	44.27	10760	12137	protein_coding	1	MT-ND4	chrM	10760	12137
ENSG00000210176	chrM	12138	12206	+	69	MT-TH	36.23	12138	12206	Mt_tRNA	1	MT-TH	chrM	12138	12206
ENSG00000210184	chrM	12207	12265	+	59	MT-TS2	45.76	12207	12265	Mt_tRNA	1	MT-TS2	chrM	12207	12265
ENSG00000210191	chrM	12266	12336	+	71	MT-TL2	35.21	12266	12336	Mt_tRNA	1	MT-TL2	chrM	12266	12336
ENSG00000198786	chrM	12337	14148	+	1812	MT-ND5	44.92	12337	14148	protein_coding	1	MT-ND5	chrM	12337	14148
ENSG00000198695	chrM	14149	14673	-	525	MT-ND6	42.67	14149	14673	protein_coding	-1	MT-ND6	chrM	14673	14149
ENSG00000210194	chrM	14674	14742	-	69	MT-TE	39.13	14674	14742	Mt_tRNA	-1	MT-TE	chrM	14742	14674
ENSG00000198727	chrM	14747	15887	+	1141	MT-CYB	46.28	14747	15887	protein_coding	1	MT-CYB	chrM	14747	15887
ENSG00000210195	chrM	15888	15953	+	66	MT-TT	37.88	15888	15953	Mt_tRNA	1	MT-TT	chrM	15888	15953
ENSG00000210196	chrM	15956	16023	-	68	MT-TP	33.82	15956	16023	Mt_tRNA	-1	MT-TP	chrM	16023	15956
ENSG00000253826	chr11	75780	76143	+	364		50.55	75780	76143	processed_pseudogene	1	ENSG00000253826	chr11	75780	76143
ENSG00000224777	chr11	86612	87605	-	994	OR4F2P	45.63	86649	87586	unprocessed_pseudogene	-1	OR4F2P	chr11	87586	86649
ENSG00000254468	chr11;chr11	121279;125578	121426;125784	-;-	355		54.04	121279	125784	lincRNA	-1	ENSG00000254468	chr11	125784	121279
ENSG00000230724	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	127115;128960;131467;133588;134564;134890;138047;138956	128016;131374;131524;133779;134796;134947;138111;139117	-;-;-;-;-;-;-;-	4085		51.53	127204	138998	lincRNA	-1	ENSG00000230724	chr11	139612	127115
ENSG00000268783	chr11;chr11;chr11;chr11;chr11;chr11	128171;128245;129032;129093;129175;129247	128242;128349;129088;129170;129235;129275	+;+;+;+;+;+	402	NA	NA	NA	NA	NA	NA	ENSG00000268783	chr11	NA	NA
ENSG00000255229	chr11;chr11;chr11	129279;171598;185902	129513;171716;186136	+;+;+	589		44.48	129279	186136	antisense	1	ENSG00000255229	chr11	129279	186136
ENSG00000222225	chr11	152999	153102	-	104	RNU6-447P	39.42	152999	153102	snRNA	-1	RNU6-447P	chr11	153102	152999
ENSG00000177951	chr11;chr11;chr11;chr11;chr11;chr11	167784;168943;180209;202924;207007;207303	167884;169052;180404;206043;207221;207428	-;-;-;-;-;-	3868	BET1L	48.36	167784	207383	protein_coding	-1	BET1L	chr11	207428	167784
ENSG00000188076	chr11;chr11;chr11	193080;193712;194418	193154;193911;194573	+;+;+	431	SCGB1C1	57.03	193080	194573	protein_coding	1	SCGB1C1	chr11	193080	194573
ENSG00000177947	chr11;chr11;chr11	196738;197561;198029	197413;197761;200261	+;+;+	3110	ODF3	60.07	196738	200258	protein_coding	1	ODF3	chr11	196738	200261
ENSG00000232495	chr11;chr11;chr11;chr11	203485;203987;204111;204208	203982;204106;204203;204363	-;-;-;-	867		57.68	203485	204363	pseudogene	-1	ENSG00000232495	chr11	204363	203485
ENSG00000254559	chr11;chr11	203623;205345	204070;205470	+;+	574		57.31	203623	205470	antisense	1	ENSG00000254559	chr11	203623	205470
ENSG00000177963	chr11;chr11;chr11;chr11	207511;209069;210364;214206	208938;210000;213780;215113	+;+;+;+	6685	RIC8A	57.49	207511	215113	protein_coding	1	RIC8A	chr11	207511	215113
ENSG00000142082	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	215458;218778;222379;224066;225673;230452;232983;233343;233911;236048;236616	216718;219041;223849;224239;226081;230706;233215;233683;234004;236431;236931	-;-;-;-;-;-;-;-;-;-;-	5202	SIRT3	48.61	215458	236431	protein_coding	-1	SIRT3	chr11	236931	215458
ENSG00000185627	chr11;chr11;chr11;chr11;chr11;chr11;chr11	236546;238998;244041;244675;247277;248607;250784	237144;239076;244469;244761;248197;249057;252983	+;+;+;+;+;+;+	4766	PSMD13	44.35	236546	252956	protein_coding	1	PSMD13	chr11	236546	252983
ENSG00000174885	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	278365;279059;279834;280084;282702;284230;284475;285166	278598;279607;279872;281839;282797;284400;284642;285359	+;+;+;+;+;+;+;+	3207	NLRP6	63.52	278365	285359	protein_coding	1	NLRP6	chr11	278365	285359
ENSG00000255026	chr11;chr11;chr11	287305;288020;288950	287334;288811;288987	+;+;+	860		65.6	287305	288298	antisense	1	ENSG00000255026	chr11	287305	288987
ENSG00000142102	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	289135;289559;290390;292546;292886;293830;294099;294267;294556	289239;290075;292095;292677;293727;293925;294196;294478;296107	+;+;+;+;+;+;+;+;+	5260	ATHL1	64.81	289135	295678	retained_intron	1	ATHL1	chr11	289135	296107
ENSG00000206013	chr11;chr11	298200;299305	298713;299526	-;-	736	IFITM5	64.88	298200	299526	protein_coding	-1	IFITM5	chr11	299526	298200
ENSG00000255533	chr11	303856	304144	-	289		59.17	303856	304144	processed_pseudogene	-1	ENSG00000255533	chr11	304144	303856
ENSG00000185201	chr11;chr11;chr11;chr11;chr11	307631;308163;308755;309013;314922	307792;308438;308889;309395;315272	+;+;+;+;+	1307	IFITM2	56.84	307631	309230	protein_coding	1	IFITM2	chr11	307631	315272
ENSG00000254910	chr11;chr11	310139;311035	310423;311141	-;-	392		70.09	310139	311141	antisense	-1	ENSG00000254910	chr11	311141	310139
ENSG00000185885	chr11;chr11;chr11;chr11	313506;313853;314418;314922	313691;314356;314456;315272	+;+;+;+	1080	IFITM1	57.05	313506	315272	protein_coding	1	IFITM1	chr11	313506	315272
